id_rete,input_json,titolo_rete,file,regione,provincia,comune_soggetto,nome_soggetto,tipo_dettaglio,tipo_aggregato_10,macro_tipologia,ruolo_attore,ruolo_firmatario,ruolo_proponente,ruolo_gestione,ruolo_monitoraggio,ruolo_coordinamento,ruolo_governance_totale,stato_osservazione
06_2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019.txt,all_risultati_enriched_2.4.json,2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019,06_2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019.txt,Friuli-Venezia Giulia,Gorizia,Farra d'Isonzo,Comune di Farra d'Isonzo,Comuni,Servizi comunali,Servizi comunali,0,1,0,0,0,0,0,valido_localizzato
09_PISA PREF E PROV.txt,all_risultati_enriched_2.4.json,PISA PREF E PROV,09_PISA PREF E PROV.txt,Toscana,Pisa,Fauglia,Comune di Fauglia,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Emilia-Romagna,Ferrara,Ferrara,Comune di Ferrara,Comuni,Servizi comunali,Servizi comunali,1,1,1,0,0,0,0,valido_localizzato
05_2406_rta_05_240916131522_4166---protocolloaggiornamento2023.txt,all_risultati_enriched_2.4.json,2406_rta_05_240916131522_4166---protocolloaggiornamento2023,05_2406_rta_05_240916131522_4166---protocolloaggiornamento2023.txt,Veneto,Venezia,Fiesso D'Artico,Comune di Fiesso D'Artico,Comuni,Servizi comunali,Servizi comunali,1,0,0,0,0,0,0,valido_localizzato
09_FIRENZE Linee-di-indirizzo2024.txt,all_risultati_enriched_2.4.json,FIRENZE Linee-di-indirizzo2024,09_FIRENZE Linee-di-indirizzo2024.txt,Toscana,Firenze,Figline e Incisa Valdarno,Comune di Figline e Incisa Valdarno,Comuni,Servizi comunali,Servizi comunali,0,0,0,0,0,0,0,valido_localizzato
03_2406_rta_03_240924144947_4166---Protocollod'IntesaReteAntiviolenzaIsolaBergamascaeBassaValSanMartino2024.txt,all_risultati_enriched_2.4.json,2406_rta_03_240924144947_4166---Protocollod'IntesaReteAntiviolenzaIsolaBergamascaeBassaValSanMartino2024,03_2406_rta_03_240924144947_4166---Protocollod'IntesaReteAntiviolenzaIsolaBergamascaeBassaValSanMartino2024.txt,Lombardia,Bergamo,Filago,Comune di Filago,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091725_4166---Protoc-Prefett-2017,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,Emilia-Romagna,Modena,Fiorano Modenese,Comune di Fiorano Modenese,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091917_4166---Protocollo2022-2024,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,Emilia-Romagna,Piacenza,Fiorenzuola d'Arda,Comune di Fiorenzuola d'Arda,Comuni,Servizi comunali,Servizi comunali,1,1,1,0,0,0,0,valido_localizzato
09_FIRENZE Linee-di-indirizzo2024.txt,all_risultati_enriched_2.4.json,FIRENZE Linee-di-indirizzo2024,09_FIRENZE Linee-di-indirizzo2024.txt,Toscana,Firenze,Firenze,Comune di Firenze,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
09_FIRENZE Linee-di-indirizzo2024.txt,all_risultati_enriched_2.4.json,FIRENZE Linee-di-indirizzo2024,09_FIRENZE Linee-di-indirizzo2024.txt,Toscana,Firenze,Firenze,Comune di Firenze: Area Tutela Valery,Comuni,Servizi comunali,Servizi comunali,1,1,0,1,0,0,1,valido_localizzato
09_FIRENZE Linee-di-indirizzo2024.txt,all_risultati_enriched_2.4.json,FIRENZE Linee-di-indirizzo2024,09_FIRENZE Linee-di-indirizzo2024.txt,Toscana,Firenze,Firenze,Comune di Firenze: Servizi sociali,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
03_2406_rta_03_240923101524_4166---PROTOCOLLO_DI_INTESA_versione_DEFINITIVA2021.stamped.txt,all_risultati_enriched_2.4.json,2406_rta_03_240923101524_4166---PROTOCOLLO_DI_INTESA_versione_DEFINITIVA2021.stamped,03_2406_rta_03_240923101524_4166---PROTOCOLLO_DI_INTESA_versione_DEFINITIVA2021.stamped.txt,Lombardia,Brescia,Flero,Comune di Flero,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
