file,ambito_territoriale,livello_prevalente,comune_prevalente,provincia_prevalente,regione_prevalente,lat,lon,n_soggetti,n_firmatari,n_proponenti,n_attori,n_governance,n_governance_generica,n_enti_capofila,ente_capofila_principale,bucket_ambito
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt,regionale,comune,Alba,Cuneo,Piemonte,44.68986768,7.9239456399999995,9,5,1,5,1,0,2,Comune di Bra,regionale
01_2406_rta_01_240904120005_4166---protocollo.txt,regionale,comune,Biella,Biella,Piemonte,45.53273028,8.038532653333334,34,15,1,24,6,0,1,Consorzio Intercomunale Servizi Socio Assistenziali del Biellese Orientale C.LS.S.A.B.O.,regionale
01_2406_rta_01_240904121349_4166---convenzione.txt,regionale,comune,Biella,Biella,Piemonte,45.5319133,8.039566285714287,29,12,0,15,1,0,0,,regionale
01_2406_rta_01_240904122512_4166---accordoSFD.txt,provinciale,comune,Biella,Biella,Piemonte,45.56116795789474,8.0596374,26,2,0,16,3,0,0,,provinciale
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.txt,provinciale,comune,Borgomanero,Novara,Piemonte,45.71001029,8.52565181,29,8,0,11,1,0,0,,provinciale
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.txt,regionale,comune,Pinerolo,Torino,Piemonte,45.0432791,7.398463757142857,26,5,0,20,11,0,0,,regionale
01_2406_rta_01_240909103717_4166---PROTOCOLLORETEANTIVIOLENZASVOLTADONNA.txt,regionale,comune,Pinerolo,Torino,Piemonte,45.120542775000004,7.5206832,14,3,2,11,0,0,0,,regionale
01_2406_rta_01_240909110828_4166---PROTOCOLLOHELP.txt,regionale,comune,Torino,Torino,Piemonte,45.0473001,7.5844926210526316,23,18,1,19,1,0,1,CENTRI ANTIVIOLENZA E.M.M.A. ONLUS,regionale
01_2406_rta_01_240909112136_4166---convenzionecarmagnola.txt,comunale,comune,Carmagnola,Torino,Piemonte,44.92208209999999,7.7056217333333334,8,3,0,7,2,0,0,,comunale
01_2406_rta_01_240909113151_4166---CONVENZIONERIVOLI.txt,comunale,comune,Rivoli,Torino,Piemonte,45.0701331,7.533828,7,2,1,3,1,0,0,,comunale
01_2406_rta_01_240909114524_4166---CONVENZIONEUNITO-SPORTANTIVIOLENZA.txt,comunale,comune,Torino,Torino,Piemonte,45.0732891,7.6806958,21,2,2,7,2,0,0,,comunale
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.txt,regionale,comune,Cuneo,Cuneo,Piemonte,44.50128775833334,7.643436245833333,38,24,1,24,1,0,1,Consorzio Socio Assistenziale del Cuneese,regionale
01_2406_rta_01_240920123646_4166---vercellieos.txt,provinciale,comune,Vercelli,Vercelli,Piemonte,45.40812475882353,8.35651875882353,24,20,20,21,5,0,0,,provinciale
01_2406_rta_01_240924140705_4166---LesConvenzionecoprogettazione.txt,comunale,comune,Novara,Novara,Piemonte,45.4493165,8.71673125,9,5,0,7,2,0,0,,comunale
01_2406_rta_01_241002150739_4166---DeliberaCostituzioneOsservatorioSaluteDonne.txt,regionale,comune,Torino,Torino,Piemonte,45.07328909999999,7.6806958,34,2,2,24,4,0,0,,regionale
01_2406_rta_01_241003113501_4166---CCVD1deliberaprotocolloccvd-2024eall1prot.txt,provinciale,comune,Torino,Torino,Piemonte,45.05380816153846,7.657567346153845,29,9,7,23,7,0,0,,provinciale
01_2406_rta_01_241003115621_4166---ProtocolloCISCirie.txt,comunale,comune,Chivasso,Torino,Piemonte,45.299451266666665,7.768584933333333,8,2,0,2,0,0,0,,comunale
01_2406_rta_01_241003120726_4166---Protocollod'intesaCISSAC-Puntoacapo.txt,comunale,comune,Chivasso,Torino,Piemonte,45.24933385,7.88930625,6,2,0,2,1,0,0,,comunale
01_2406_rta_01_241003124847_4166---2024-8928-2perinvio.txt,regionale,comune,,,,,,13,8,0,8,0,0,0,,regionale
01_2406_rta_01_241018134519_4166---Protocollooperativointeristituzionaleviolenzadigenere2023-2026def.txt,regionale,comune,Ceva,Cuneo,Piemonte,44.5453914,7.96632725,16,5,0,7,0,0,0,,regionale
01_2406_rta_01_241018142716_4166---protocolloreteVC.txt,provinciale,comune,Vercelli,Vercelli,Piemonte,45.33146973684211,8.320429931578948,23,20,21,22,2,0,0,,provinciale
01_2406_rta_01_241018142804_4166---ConvenzioneASL-Prontosoccorsoceva.txt,regionale,comune,Ceva,Cuneo,Piemonte,44.387953575,7.914203474999999,8,2,0,2,0,0,0,,regionale
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,regionale,comune,Aosta,Valle D'Aosta/Vallée D'Aoste,Valle D'Aosta/Vallée D'Aoste,45.70315385,7.5050251,25,0,1,13,0,0,0,,regionale
03_2406_rta_03_240918151606_4166---A_RetePavia_Protocollo2021_e_Integrazioni2023_firmato_compressed.txt,regionale,comune,Pavia,Pavia,Lombardia,45.173662963333335,9.12783855,37,37,20,37,5,0,1,Comune di Pavia,regionale
03_2406_rta_03_240918153156_4166---Protocollo_d'Intesa_Rete_Mantova.prot.txt,provinciale,comune,Mantova,Mantova,Lombardia,45.178833315000006,10.684276095,37,30,30,36,1,0,1,Comune di Mantova,provinciale
