file,files,regione,firmatario,tipo_30,tipo_10
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,Emilia-Romagna,Città metropolitana di Bologna,Province/Città metropolitane,Province/Città metropolitane
09_AREZZO Prot_2024-2026.txt,09_AREZZO Prot_2024-2026.txt,Toscana,Provincia di Arezzo,Province/Città metropolitane,Province/Città metropolitane
08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,Emilia-Romagna,Provincia di Forli-Cesena,Province/Città metropolitane,Province/Città metropolitane
09_LUCCA PROV.txt,09_LUCCA PROV.txt,Toscana,Provincia di Lucca,Province/Città metropolitane,Province/Città metropolitane
09_APUANE_2015 Protocollo Prefettura.txt,09_APUANE_2015 Protocollo Prefettura.txt,Toscana,Provincia di Massa Carrara,Province/Città metropolitane,Province/Città metropolitane
08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt | 08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt | 08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,Emilia-Romagna,Provincia di Modena,Province/Città metropolitane,Province/Città metropolitane
08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt | 08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt | 08_2406_rta_08_241015092005_4166---DG216-2024.txt,08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt | 08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt | 08_2406_rta_08_241015092005_4166---DG216-2024.txt,Emilia-Romagna,Provincia di Piacenza,Province/Città metropolitane,Province/Città metropolitane
09_PISA PREF E PROV.txt,09_PISA PREF E PROV.txt,Toscana,Provincia di Pisa,Province/Città metropolitane,Province/Città metropolitane
09_PISTOIA PROV .txt,09_PISTOIA PROV .txt,Toscana,Provincia di Pistoia,Province/Città metropolitane,Province/Città metropolitane
09_PRATO PREF.txt,09_PRATO PREF.txt,Toscana,Provincia di Prato,Province/Città metropolitane,Province/Città metropolitane
