regione,file,firmatario,tipo,macro_categoria
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,SUNIA,Sindacati/Associazioni di categoria,Associazionismo
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,UIL,Sindacati/Associazioni di categoria,Associazionismo
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,UNIAT,Sindacati/Associazioni di categoria,Associazionismo
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,UNIONCASA,Altro,Altro
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,UNIONE INQUILINI,Sindacati/Associazioni di categoria,Associazionismo
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,UPPI,Altro,Altro
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,AFM - Farmacie Comunali Ferrara,Altro,Altro
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Ascom Confcommercio Ferrara,Sindacati/Associazioni di categoria,Associazionismo
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,"Associazione ""Centro Donna Giustizia"" di Ferrara",CAV/Centri Antiviolenza,CAV e Case Rifugio
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Azienda Ospedaliero Universitaria di Ferrara,"Ospedale (Pronto soccorso, ecc.)",Sanità e servizi territoriali
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Azienda Unità Sanitaria Locale di Ferrara,ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Centro di Ascolto per Uomini Maltrattanti di Ferrara,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",Associazionismo
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Comando Provinciale dei Carabinieri di Ferrara,Carabinieri/Polizia/altre forze dell'ordine,Giustizia e forze dell'ordine
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Comando Provinciale della Guardia di Finanza di Ferrara,Carabinieri/Polizia/altre forze dell'ordine,Giustizia e forze dell'ordine
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Comune di Cento,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Comune di Codigoro,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Comune di Copparo,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Comune di Ferrara,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Consultori familiari Ferrara,ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Federfarma Ferrara,Sindacati/Associazioni di categoria,Associazionismo
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Istituzioni scolastiche autonome della provincia di Ferrara,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Ordine degli Avvocati di Ferrara,Ordine avvocati,Giustizia e forze dell'ordine
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Ordine dei Farmacisti di Ferrara,Ordine medici e odontoiatri e Ordine farmacisti,Altri attori istituzionali / professionali
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Ordine dei Giornalisti di Ferrara,Altri ordini professionali,Altri attori istituzionali / professionali
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Ordine dei Medici Chirurghi e degli Odontoiatri di Ferrara,Ordine medici e odontoiatri e Ordine farmacisti,Altri attori istituzionali / professionali
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Prefettura di Ferrara,Prefettura,Giustizia e forze dell'ordine
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Procura della Repubblica presso il Tribunale di Ferrara,Procura Ordinaria/Tribunale/Corte d'appello,Giustizia e forze dell'ordine
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Procura della Repubblica presso il Tribunale per i Minorenni dell'Emilia Romagna di Bologna,Procura Minorile/Tribunale minorile,Giustizia e forze dell'ordine
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Pronto Soccorso Generale e Ostetrico-Ginecologico Ferrara,"Ospedale (Pronto soccorso, ecc.)",Sanità e servizi territoriali
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Questura di Ferrara,Questura,Giustizia e forze dell'ordine
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Rotary Club Ferrara,Altro,Altro
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Tribunale di Ferrara,Procura Ordinaria/Tribunale/Corte d'appello,Giustizia e forze dell'ordine
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Tribunale per i Minorenni dell'Emilia Romagna di Bologna,Procura Minorile/Tribunale minorile,Giustizia e forze dell'ordine
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Ufficio Scolastico Regionale VI Ambito Territoriale di Ferrara,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Unione Donne in Italia — APS Ferrara,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo
Emilia-Romagna,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Università degli Studi di Ferrara,Università,Altri attori istituzionali / professionali
Emilia-Romagna,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Assistenza Servizi alla Persona (ASSP) Unione Terre e Fiumi,Altro,Altro
Emilia-Romagna,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Avvocati,Ordine avvocati,Giustizia e forze dell'ordine
Emilia-Romagna,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Azienda Ospedaliera Universitaria di Ferrara,ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali
Emilia-Romagna,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Azienda USL di Ferrara,ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali
Emilia-Romagna,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,CAM Centro di Ascolto per Uomini Maltrattanti APS di Ferrara,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",Associazionismo
Emilia-Romagna,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Centro Donna Giustizia APS di Ferrara,CAV/Centri Antiviolenza,CAV e Case Rifugio
Emilia-Romagna,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Comitato Pari Opportunita presso l'Ordine degli Avvocati di Ferrara,Organismi di parità,Altri attori istituzionali / professionali
Emilia-Romagna,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Comune di Jolanda di Savoia,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Comune di Masi Torello,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Comune di Voghiera,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Servizio 118 di Ferrara,"Ospedale (Pronto soccorso, ecc.)",Sanità e servizi territoriali
Emilia-Romagna,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Sindacato Confederale CGIL Ferrara,Sindacati/Associazioni di categoria,Associazionismo
Emilia-Romagna,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Sindacato Confederale CISL Ferrara,Sindacati/Associazioni di categoria,Associazionismo
Emilia-Romagna,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Sindacato Confederale UIL Ferrara,Sindacati/Associazioni di categoria,Associazionismo
Emilia-Romagna,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Sportelli PUA Unione Terre e Fiumi,Altro,Altro
Emilia-Romagna,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,UDI Unione Donne in Italia - Sede di Ferrara,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo
