id_rete,file,titolo_rete,regione,provincia,ambito_territoriale,atto_formale,tipologia_dominante_10,n_soggetti,n_attori,n_firmatari,n_proponenti,n_gestione,n_monitoraggio,n_coordinamento,n_governance,Totale Riga
12_2406_rta_12_241002105403_4166---2ProtCAVSAPIENZA-HAPPYCOACHINGANDCOUNSELING.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,3,2,2,0,0,0,0,0,7.0
12_2406_rta_12_241002110138_4166---3protCAVSAPIENZA-laGRU.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,3,3,3,0,0,0,0,0,9.0
12_2406_rta_12_241002110904_4166---5protCAVSAPIENZA-RUOTALIBERACOOPERATIVASOCIALE.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,3,2,2,0,0,0,0,0,7.0
12_2406_rta_12_241002111710_4166---6protCAVSAPIENZA-SAPIENZAINMOVIMENTO.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,3,1,0,0,0,0,0,0,4.0
12_2406_rta_12_241002112428_4166---7prot(mancapagina)CAVSAPIENZA-UNIVERSITàPOPOLAREVITAATIVA.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,5,3,3,0,0,0,0,0,11.0
12_2406_rta_12_241002113235_4166---8protCAVSAPIENZA-RETAKEROMAODV.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,1,1,1,0,0,0,0,0,3.0
12_2406_rta_12_241002114038_4166---1protCAVTITANO-8-10DidascoSoc.Coop.Soc.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,3,2,2,0,0,0,0,0,7.0
12_2406_rta_12_241002115125_4166---2protCAVTITANO-AmiciDiConcaD’oro.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,3,2,2,0,0,0,0,0,7.0
12_2406_rta_12_241002115801_4166---3protCAVTITANO-IdeaPrisma82Coop.Soc.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,3,2,1,0,0,0,0,0,6.0
12_2406_rta_12_241002120506_4166---4protCAVTITANO-ASSOCIAZIONESolidarietàLaicaeResponsabileSO.LA.RE.Onlus.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,1,1,1,0,0,0,0,0,3.0
12_2406_rta_12_241002122243_4166---2ProtocolloAssociazioneAllianceforAfricanAssistance(002).txt,0.0,0.0,0.0,0.0,0.0,0,0.0,3,2,2,0,0,0,0,0,7.0
12_2406_rta_12_241002130504_4166---3Protocollid'intesa-TavoloInteristituzionaletraUfficiGiudiziaricompetentinelcircondariodiRomaavvocaturaecentriantiviolenza(1).txt,0.0,0.0,0.0,0.0,0.0,1,0.0,13,9,9,0,0,0,0,0,32.0
12_2406_rta_12_241003091037_4166---5Protocollid'intesa-Ass.Salvamamme(002).txt,0.0,0.0,0.0,0.0,0.0,1,0.0,5,5,2,0,0,0,0,0,13.0
12_2406_rta_12_241003093443_4166---7Protocollod'intesa-Donneinrinascita.txt,0.0,0.0,0.0,0.0,0.0,1,0.0,2,2,2,0,0,0,0,0,7.0
12_2406_rta_12_241003094302_4166---4VerbaleIncontroGiorgieLaGinestra-PROTOCOLLO.txt,0.0,0.0,0.0,0.0,0.0,1,0.0,7,4,0,0,0,0,0,0,12.0
12_2406_rta_12_241003095202_4166---8ProtocolloUIL.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,6,4,2,0,0,0,0,0,12.0
12_2406_rta_12_241003100516_4166---1ProtCAVPAOLALATTESLibroteka(1).txt,0.0,0.0,0.0,0.0,0.0,0,0.0,2,2,2,0,0,0,0,0,6.0
12_2406_rta_12_241003101925_4166---ProtocolloFormazioneObiettivoUomo.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,20,3,2,0,0,0,0,0,25.0
12_2406_rta_12_241003104626_4166---PROTOCOLLODIINTESAMUNICIPIOXV.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,16,3,3,0,1,1,1,3,28.0
12_2406_rta_12_241003105319_4166---PROTOCOLLODIINTES1_2601def-signed-signed.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,12,3,2,1,0,0,0,0,18.0
12_2406_rta_12_241003105855_4166---ProtocollodiintesafirmatoASL1.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,4,1,1,0,0,0,0,0,6.0
