file,categoria,estratto
01_2406_rta_01_240924140705_4166---LesConvenzionecoprogettazione.json,comuni,Novara Per Il Raggiungimento Degli Obiettivi Progettuali
01_2406_rta_01_240924140705_4166---LesConvenzionecoprogettazione.json,comuni,Novara Riconosce Un Rimborso Delle Spese Sostenute Dai Soggetti Attuatori
01_2406_rta_01_240924140705_4166---LesConvenzionecoprogettazione.json,comuni,Novara É Sollevato Da Qualunque Pretesa
01_2406_rta_01_241002150739_4166---DeliberaCostituzioneOsservatorioSaluteDonne.json,regioni,Piemonte
01_2406_rta_01_241003113501_4166---CCVD1deliberaprotocolloccvd-2024eall1prot.json,province,Di Torino
01_2406_rta_01_241003113501_4166---CCVD1deliberaprotocolloccvd-2024eall1prot.json,comuni,Territorio Metropolitano
01_2406_rta_01_241003113501_4166---CCVD1deliberaprotocolloccvd-2024eall1prot.json,comuni,Torino
01_2406_rta_01_241003115621_4166---ProtocolloCISCirie.json,associazioni,A Capo
01_2406_rta_01_241003115621_4166---ProtocolloCISCirie.json,associazioni,A Capo Di Chivasso
01_2406_rta_01_241003115621_4166---ProtocolloCISCirie.json,associazioni,A Capo Ed Il Consorzio Cis Di Ciri
01_2406_rta_01_241003115621_4166---ProtocolloCISCirie.json,consorzi,Cirié Intendono Collaborare Per La Promozione
01_2406_rta_01_241003115621_4166---ProtocolloCISCirie.json,consorzi,Cis Di Cirie
01_2406_rta_01_241003115621_4166---ProtocolloCISCirie.json,consorzi,Intercomunale Dei Servizi Socio Assistenziali C
01_2406_rta_01_241003120726_4166---Protocollod'intesaCISSAC-Puntoacapo.json,associazioni,A Capo Di Chivasso
01_2406_rta_01_241003120726_4166---Protocollod'intesaCISSAC-Puntoacapo.json,associazioni,A Capo E Il Consorzio C
01_2406_rta_01_241003120726_4166---Protocollod'intesaCISSAC-Puntoacapo.json,associazioni,Punto A Capo
01_2406_rta_01_241003120726_4166---Protocollod'intesaCISSAC-Puntoacapo.json,consorzi,
01_2406_rta_01_241003120726_4166---Protocollod'intesaCISSAC-Puntoacapo.json,consorzi,Caluso- C
01_2406_rta_01_241003120726_4166---Protocollod'intesaCISSAC-Puntoacapo.json,consorzi,Intercomunale Servizi Socio Assistenziali Di Caluso
01_2406_rta_01_241003124847_4166---2024-8928-2perinvio.json,regioni,Piemonte
01_2406_rta_01_241003124847_4166---2024-8928-2perinvio.json,province,Del Verbano Cusio Ossola
01_2406_rta_01_241003124847_4166---2024-8928-2perinvio.json,province,Del Verbano-Cusio-Ossola Mettera A Disposizione
01_2406_rta_01_241003124847_4166---2024-8928-2perinvio.json,province,Del Verbeano Cusio Ossola
01_2406_rta_01_241003124847_4166---2024-8928-2perinvio.json,consorzi,Intercommuneds Re A Tes Son Ey A Ari A
01_2406_rta_01_241003124847_4166---2024-8928-2perinvio.json,consorzi,Intercomunale Dei Servizi Del Cusio Mettera A Disposizione
01_2406_rta_01_241003124847_4166---2024-8928-2perinvio.json,consorzi,Intercomunale Dei Servizi Det Verbano Mettera A Disposizione
01_2406_rta_01_241003124847_4166---2024-8928-2perinvio.json,consorzi,Intercomunale Dei Servizi Sociali Del Verbano
01_2406_rta_01_241003124847_4166---2024-8928-2perinvio.json,consorzi,Intercomunale Dei Servizi Socio- Assistenziali Dell'Ossola E Cooperativa La Bitta
01_2406_rta_01_241018134519_4166---Protocollooperativointeristituzionaleviolenzadigenere2023-2026def.json,regioni,Ai Sensi Dell
01_2406_rta_01_241018134519_4166---Protocollooperativointeristituzionaleviolenzadigenere2023-2026def.json,regioni,Piemonte
01_2406_rta_01_241018134519_4166---Protocollooperativointeristituzionaleviolenzadigenere2023-2026def.json,comuni,Mombasiglio
01_2406_rta_01_241018134519_4166---Protocollooperativointeristituzionaleviolenzadigenere2023-2026def.json,comuni,Niella Tanaro
01_2406_rta_01_241018134519_4166---Protocollooperativointeristituzionaleviolenzadigenere2023-2026def.json,comuni,Priola
01_2406_rta_01_241018134519_4166---Protocollooperativointeristituzionaleviolenzadigenere2023-2026def.json,comuni,Residenza Della Donna E Dei Minori Ne Fanno Parte
01_2406_rta_01_241018134519_4166---Protocollooperativointeristituzionaleviolenzadigenere2023-2026def.json,comuni,Residenza Per Informarli
01_2406_rta_01_241018134519_4166---Protocollooperativointeristituzionaleviolenzadigenere2023-2026def.json,associazioni,Donna
01_2406_rta_01_241018134519_4166---Protocollooperativointeristituzionaleviolenzadigenere2023-2026def.json,associazioni,Donna Odv
